,plus_signs,minus_signs,orthants
0,87,93,206
1,100,97,178
2,72,96,156
3,87,93,176
4,89,95,168
5,94,99,172
6,99,88,160
7,88,97,170
8,97,105,200
9,92,105,170
10,91,88,166
11,84,85,172
12,90,89,156
13,104,88,148
14,84,84,174
15,89,100,192
16,105,92,172
17,63,52,74
18,107,90,168
19,96,96,182
20,91,91,164
21,77,89,158
22,52,74,78
23,78,78,150
24,92,99,174
25,89,87,150
26,70,73,86
27,96,75,144
28,101,85,152
29,95,103,212
30,80,62,98
31,84,83,134
32,71,102,118
33,82,90,140
34,75,91,156
35,101,79,154
36,76,80,136
37,81,91,134
38,80,84,140
39,83,67,94
40,88,99,160
41,91,98,166
42,74,83,108
43,84,65,116
44,84,100,152
45,70,83,104
46,79,91,120
47,83,76,158
48,100,77,116
49,54,64,64
50,95,94,182
51,87,90,168
52,102,93,180
53,88,76,140
54,92,93,144
55,82,72,128
56,100,82,144
57,75,78,124
58,93,77,156
59,91,91,184
60,97,94,138
61,98,96,210
62,48,56,104
63,60,66,74
64,81,83,122
65,106,97,146
66,107,78,140
67,79,85,142
68,82,82,134
69,91,92,158
70,71,98,118
71,97,97,202
72,92,95,162
73,104,90,158
74,81,80,122
75,92,85,154
76,83,76,110
77,113,71,130
78,87,96,172
79,84,72,128
80,96,106,186
81,83,96,158
82,98,95,208
83,89,105,162
84,74,81,136
85,81,92,148
86,41,47,44
87,102,99,196
88,99,95,192
89,84,94,148
90,97,98,224
91,77,67,150
92,70,63,90
93,80,87,140
94,87,79,146
95,76,91,134
96,78,104,150
97,70,72,98
98,101,83,170
99,84,80,128
100,100,99,196
101,77,83,110
102,88,79,164
103,88,79,172
104,107,91,146
105,81,89,120
106,77,73,130
107,68,130,116
108,84,88,166
109,84,94,148
110,59,112,96
111,98,96,176
112,99,88,164
113,93,85,132
114,89,99,142
115,81,71,148
116,91,98,162
117,88,93,184
118,63,61,134
119,99,79,154
120,96,93,178
121,69,79,80
122,89,87,164
123,93,100,144
124,94,84,136
125,97,85,140
126,94,90,178
127,91,75,124
128,71,68,100
129,102,91,152
130,80,78,116
131,62,73,114
132,108,87,172
133,96,97,212
134,78,92,114
135,80,79,126
136,87,89,190
137,111,91,160
138,64,58,96
139,79,83,136
140,84,87,142
141,78,81,136
142,77,85,114
143,97,90,188
144,58,65,76
145,108,94,196
146,95,89,184
147,89,84,92
148,94,100,216
149,79,96,146
150,80,101,148
151,86,83,170
152,89,84,156
153,98,90,186
154,81,87,138
155,92,92,178
156,77,87,148
157,96,73,120
158,104,89,182
159,63,88,104
160,101,94,166
161,86,103,158
162,86,92,174
163,101,90,140
164,100,107,204
165,96,104,222
166,97,96,168
167,86,84,154
168,64,52,78
169,105,93,196
170,75,97,120
171,94,71,130
172,91,84,156
173,86,99,184
174,67,71,110
175,73,82,134
176,86,96,136
177,33,41,4
178,98,89,184
179,72,120,134
180,90,95,174
181,74,83,110
182,78,91,176
183,85,85,126
184,101,88,198
185,82,103,170
186,79,95,144
187,92,90,156
188,102,82,162
189,85,87,136
190,49,52,2
191,94,100,192
192,95,94,172
193,61,103,106
194,94,99,184
195,87,61,90
196,103,91,172
197,88,87,204
198,99,68,136
199,95,88,166
200,88,92,168
201,66,63,84
202,97,88,168
203,88,82,142
204,79,85,160
205,81,58,92
206,69,81,98
207,74,82,130
208,73,103,156
209,73,89,144
210,83,91,160
211,95,100,198
212,80,81,130
213,88,83,128
214,88,86,158
215,89,84,154
216,94,105,218
217,105,89,150
218,75,62,130
219,91,90,180
220,78,89,150
221,101,83,148
222,82,77,144
223,95,78,136
224,84,90,130
225,98,92,146
226,97,81,148
227,93,75,130
228,94,88,168
229,98,87,176
230,95,94,152
231,100,95,198
232,93,92,174
233,97,85,188
234,65,60,84
235,78,78,126
236,78,84,158
237,101,88,200
238,112,78,142
239,96,103,196
240,98,96,164
241,81,99,156
242,90,97,162
243,75,88,140
244,89,78,116
245,99,86,170
246,82,96,174
247,88,85,150
248,104,96,180
249,91,104,214
250,91,102,176
251,74,54,112
252,93,100,170
253,83,96,168
254,85,105,144
255,93,91,178
256,113,86,180
257,97,81,146
258,88,92,146
259,104,85,154
260,84,87,150
261,83,78,130
262,80,82,126
263,76,70,104
264,92,99,152
265,81,82,130
266,110,78,140
267,101,93,214
268,102,96,184
269,102,91,182
270,69,69,106
271,94,88,154
272,85,89,134
273,86,99,144
274,88,93,166
275,91,75,168
276,77,84,104
277,97,81,162
278,88,87,144
279,75,79,180
280,88,83,168
281,94,104,196
282,98,103,172
283,83,103,156
284,96,91,170
285,93,85,180
286,84,84,138
287,90,92,168
288,83,82,148
289,93,96,196
290,79,77,112
291,76,66,108
292,87,101,162
293,105,101,172
294,92,91,130
295,95,98,190
296,84,89,122
297,80,96,182
298,76,79,120
299,91,98,162
300,92,91,172
301,83,84,152
302,92,74,114
303,100,99,202
304,99,91,214
305,84,104,144
306,80,89,168
307,89,70,126
308,94,85,162
309,95,83,168
310,87,88,150
311,86,102,154
312,71,62,102
313,64,85,112
314,91,100,178
315,93,77,166
316,102,95,192
317,74,103,96
318,101,87,174
319,77,85,120
320,83,87,156
321,98,93,186
322,84,78,154
323,92,94,150
324,99,91,190
325,83,86,160
326,90,90,180
327,88,99,170
328,70,95,114
329,91,70,116
330,96,99,194
331,76,98,152
332,95,80,128
333,92,65,86
334,98,100,198
335,82,81,142
336,87,87,174
337,102,94,204
338,103,83,168
339,94,93,186
340,94,91,194
341,93,92,144
342,73,75,104
343,74,83,112
344,71,86,124
345,74,76,142
346,93,98,228
347,93,84,170
348,89,86,152
349,100,89,174
350,93,97,168
351,84,75,160
352,83,92,180
353,77,114,128
354,102,90,174
355,71,91,144
356,92,101,160
357,93,88,132
358,95,103,202
359,84,83,140
360,101,90,156
361,80,95,152
362,100,76,130
363,89,83,144
364,86,105,142
365,88,101,184
366,86,76,114
367,91,106,186
368,80,111,166
369,84,77,158
370,85,104,164
371,107,87,174
372,88,76,132
373,84,110,132
374,68,78,86
375,102,84,192
376,90,79,176
377,62,52,2
378,74,76,110
379,98,95,188
380,100,93,206
381,84,93,170
382,92,87,158
383,83,101,178
384,84,90,138
385,54,51,72
386,87,78,138
387,70,56,82
388,104,89,190
389,95,86,194
390,72,58,108
391,82,85,116
392,79,90,110
393,102,71,144
394,91,99,158
395,83,81,138
396,96,92,216
397,95,94,168
398,80,85,150
399,93,85,148
400,96,100,192
401,87,102,188
402,94,92,170
403,94,93,178
404,97,91,186
405,87,93,176
406,97,94,172
407,82,99,156
408,94,84,174
409,78,82,88
410,85,80,184
411,90,105,178
412,86,80,166
413,75,84,134
414,86,82,130
415,83,81,142
416,69,68,112
417,85,100,154
418,102,95,186
419,94,92,156
420,80,60,82
421,66,67,104
422,93,78,160
423,83,91,144
424,106,95,182
425,87,93,182
426,91,83,202
427,95,94,190
428,105,92,170
429,94,97,168
430,89,101,184
431,100,48,74
432,91,102,166
433,93,95,182
434,85,76,138
435,85,99,142
436,58,82,80
437,101,90,156
438,92,83,160
439,88,94,158
440,100,89,148
441,75,83,130
442,103,101,198
443,85,87,180
444,86,94,170
445,81,78,122
446,81,90,140
447,91,90,182
448,84,91,158
449,102,85,174
450,77,94,140
451,76,74,126
452,92,107,178
453,75,106,134
454,91,81,166
455,73,80,116
456,97,93,146
457,100,95,152
458,72,72,166
459,95,99,172
460,78,83,110
461,74,72,146
462,83,96,158
463,97,101,226
464,89,93,164
465,98,97,164
466,101,99,168
467,91,94,168
468,88,92,174
469,96,97,160
470,104,70,128
471,98,100,178
472,70,80,130
473,86,92,144
474,90,108,186
475,91,111,174
476,74,75,158
477,103,96,200
478,91,103,160
479,80,74,126
480,105,85,156
481,77,91,114
482,104,74,142
483,96,98,166
484,87,63,112
485,90,81,144
486,83,98,152
487,87,108,176
488,79,83,124
489,103,89,180
490,108,93,238
491,82,74,156
492,73,64,86
493,67,77,118
494,79,73,150
495,78,66,126
496,105,89,138
497,94,89,154
498,34,46,36
499,77,73,96
500,95,79,144
501,94,102,156
502,74,71,112
503,87,96,182
504,93,100,186
505,89,88,162
506,94,91,176
507,93,103,160
508,88,101,162
509,105,87,180
510,88,102,184
511,76,94,94
512,72,74,88
513,86,82,156
514,81,84,134
515,92,94,184
516,95,90,190
517,101,89,168
518,79,69,114
519,80,72,102
520,106,85,156
521,96,86,174
522,99,90,176
523,101,90,176
524,106,94,174
525,96,95,178
526,85,105,164
527,81,69,94
528,85,79,164
529,90,89,166
530,90,89,168
531,106,89,208
532,103,91,166
533,86,97,164
534,96,99,186
535,104,87,170
536,85,87,132
537,89,82,132
538,72,67,114
539,89,94,194
540,70,71,96
541,91,96,154
542,96,86,152
543,85,107,138
544,94,98,180
545,101,101,208
546,96,86,182
547,93,85,162
548,93,95,212
549,100,85,184
550,116,81,158
551,100,55,68
552,99,81,144
553,90,97,204
554,83,83,166
555,94,100,170
556,89,80,148
557,81,86,144
558,102,93,184
559,63,101,106
560,87,78,124
561,85,88,196
562,92,92,128
563,98,97,152
564,98,92,178
565,86,101,156
566,83,87,154
567,74,85,130
568,98,89,196
569,91,96,176
570,99,100,184
571,91,93,166
572,92,87,178
573,107,83,186
574,92,74,148
575,97,97,162
576,98,91,178
577,87,81,148
578,105,85,182
579,89,102,162
580,93,100,168
581,87,92,164
582,90,98,222
583,70,86,118
584,70,62,82
585,68,70,102
586,90,90,144
587,83,86,136
588,105,75,154
589,96,96,162
590,85,107,162
591,100,94,154
592,81,54,60
593,74,107,126
594,91,99,164
595,94,71,110
596,73,68,118
597,102,96,190
598,101,88,140
599,88,91,182
600,83,91,156
601,78,73,152
602,90,97,142
603,71,75,150
604,80,90,152
605,90,99,160
606,77,82,136
607,51,59,66
608,67,75,112
609,91,104,166
610,121,84,158
611,69,90,112
612,83,87,118
613,82,73,122
614,97,98,218
615,92,98,168
616,94,100,172
617,69,74,130
618,110,79,140
619,91,98,162
620,103,80,160
621,69,62,74
622,105,94,190
623,95,92,150
624,93,103,178
625,90,92,160
626,95,108,188
627,83,81,132
628,102,85,158
629,89,78,134
630,90,103,174
631,81,74,138
632,95,101,206
633,100,93,168
634,89,83,122
635,94,99,172
636,85,97,190
637,80,94,144
638,98,86,174
639,67,72,126
640,70,64,130
641,89,107,166
642,92,85,156
643,67,69,106
644,81,76,136
645,82,83,124
646,53,60,4
647,71,76,120
648,70,75,92
649,74,63,64
650,85,101,166
651,87,55,80
652,81,76,104
653,89,94,190
